Telugu Number,English Title,Tamil Number,Tamil Title,Hindi Number,Hindi Title
247,,572,நன்றியுடன் பணிகிறேன்,566,"आभारी हूँ सिर मैं झुकाऊँ, जीवन अर्पण मैं करता हूँ,"
248,,235,எனக்காக யாவற்றையும் செய்பவரே,216,"मेरे लिए प्यारा यीशु सब कुछ किया है,"
249,,0,,236,"यहोवा ने कैसे का बड़े किए हैं,"
250,,0,,0,
251,,0,,709,"पूर्ण हृदय से धन्यवाद, चढ़ाता हूँ मैं प्रभु को"
252,,139,காட்டு மரங்களின் நடுவில்,0,
253,,277,ஆண்டவரைத் துதிக்க வாரும்,230,स्तुति ईश्वर की हम करें ... बीते वर्ष में सम्भाला हमें
254,,278,தோத்திரம் தோத்திரமே—தேவா,232,"स्तुति हो स्तुति प्रभु, आ आ"
255,,276,தேவா வருஷத்தை நன்மையினால் முடிசூட்டுகிறீர்,231,"प्रभु ... वर्ष पर तू ... भलाई मुकुट ... धर दिया है,"
256,,0,,0,
257,,0,,0,
258,,275,ஓ பக்தர்களே ஏகமாய் சேர்ந்து,241,"आओ भक्त लोगों हम सब मिलकर,"
259,,647,நாங்கள் பயப்படோம்—என்றும்,552,"हम में डर है नही, अब से हम में डर है नही,"
260,,648,பயப்படமாட்டோம் நாங்கள் பயப்படமாட்டோம்,551,"भय अब नहीं है, हमें भय अब नहीं है,"
261,,0,,0,
262,,0,,0,
263,,0,,0,
264,,0,,0,
265,,284,தேவகுமாரன் இயேசு பிறந்தார்—என்றும்,0,
266,,285,மாமரி சுதனாய் மானிலமதிலே,246,"चरनी में चमका चमकीला सितारा, (2)"
267,,0,,247,"बेथलहैम के ऐ छोटे कस्बे, खामोश और सुनसान होते देखा,"
268,,286,"பக்தரே, வாரும் ஆசை ஆவலோடும்;",248,"अब आओ विश्वासियों, जय जय करते गाओ,"
269,,174,கர்த்தர் இயேசுவைத் துதிப்பது,249,"सुनों ! दुउतगण गातें हैं ; बालक राजा ख्रिस्त की जय,"
270,,206,கேட்பேனே நான் உம் சத்தத்தை,245,"सुनते हैं हम तेरी आवाज, तकत्ते हैं हम तेरे रूप को,"
271,,290,உதித்தாரே திவ்விய ரட்சகனே,0,
272,,295,"அரூபியே சொரூபியே, மருகியே",0,
273,,301,இயேசுவின் வேதனையுடன்,0,
274,,296,நமக்காய் இயேசு மரித்தார்,258,"यीशु ने सब के लिए ... जीवन बलिदान किया,"
275,,0,,136,यीशु ने मेरे लिए कुर्बानी चढ़ाई  (2)
276,,303,பாவிகளுக்காய் கிறிஸ்சேசு மரித்தாரே,253,"ऊपर सूली के, ऊपर सूली के, मसीहा जान देता,"
277,,302,உம் இரத்தமே உம் இரத்தமே சுத்தம் செய்யுமே,259,"तेरा लोहू तेरा लोहू मुझे शुद्ध करता है,"
278,,300,சிலுவையிலே பலியான,254,"ईश्वर का ओ मेम्ना, तू चढ़ा था क्रूस के ऊपर,"
279,,299,அந்தோ கல்வாரியில்—அருமை இரட்சகரே,252,"देखो, कलवरी पर यीशु देता अपना प्राण,"
280,,297,எந்தனை இரட்சிக்கவே வந்தீர்—தேவா,0,
281,,293,இயேசுவின் இரத்தமே ஜெயம் ஜெயமே,260,"यीशु के लोहू की जय, जय, जय,"
282,,305,என்ன தியாகம் என் கல்வாரி நாயகா,0,
283,,0,,251,"देख, जरा देख, तेरे लिए,"
284,,294,வாழ்க்கையாம் பாதைக்கு நீரே வெளிச்சம்,250,"जीवन पथ की ज्योति तू क्रूसधारी यीशु,"
285,,298,இயேசு சிலுவையில் மாண்டார்,314,"यीशु सलीब पर मुआ,"
286,,306,"என் அருள் நாதா இயேசுவே,",265,"जिस क्रूस पर यीशु मारा था, उस क्रूस पर ध्यान जब करता हूँ,"
287,,0,,66,हे यहोवा गहरे स्थानों से ... तुझ को मैंने पुकारा है ;
288,,320,என் தேவனே என் தேவனே ஏன் என்னை,255,"""मेरे ईश्वर तू ने मुझे क्यों छोड़ा"", पुकारा क्रूस पर से प्रभु मेरे,"
289,,310,கல்வாரி மலையில் நின்ற ஈனச் சிலுவை,264,"आह ! वह प्यारी सलीब, मुझ को दीख पड़ती है,"
290,,324,கீதம் கீதம் ஜெய ஜெயக் கீதம்,267,"गाओ, गाओ, जय गीत गाओ,"
291,,0,,0,
292,,325,இன்பக்கீதந் தொனித்திடு இயேசு எழுந்தார்,268,"ओ ! हल्लेलूयाह बोलो यीशु जीवित हो गया, (2)"
293,,0,,275,"वह कब्र में पड़ा ... ख्रिस्त मेरा त्राता,"
294,,0,,0,
295,,0,,276,यीशु ख्रिस्त जी उठा है ! हल्लेलूयाह !
296,,341,இயேசு ராஜன் வருவார் தூதரோடும் வருவார்,631,"यीशु राजा आएगा, फिरिश्तों के साथ आएगा,"
297,,355,ராஜாதி ராஜாவே வாரும்,0,
298,,0,,468,"नया यरूशलेम, जो अद्‍भुत है, पवित्र नगर वही है,"
299,,339,ஆண்டவர் வருகை விண் மீதே,0,
300,,340,மகிமையுள்ள மாயேசு ராஜன்,629,"महिमा के साथ यीशु राजा,"
301,,338,மேகமீதில் இயேசு ராஜன்,627,"बादलों पर यिशु राजा जल्दी आता है, (2)"
302,,0,,634,"जब देखो निशानत भाइयो सब जग जाओ,"
303,,0,,636,"सजा पाऍंगे, हाँ जी, मार खाऍंगे, कुल गुनाहगार,"
304,,334,ராஜாதி ராஜனாக இயேசுகிறிஸ்து,0,
305,,390,உன் தேவனைச் சந்திக்க நீ ஆயத்தமா?,0,
306,,758,பரிசுத்தர் கூட்டம் இயேசுவைப்போற்றி,637,"दुनिया के विश्वासी उठाए जाएँगे,"
307,,335,இயேசு சீக்ரமாய் வருகிறார்,0,
308,,343,விழித்திரு மகிமை ராஜன்,0,
309,,330,வருகிறவர் யாரென்று நீ பார்,638,"देखो, देखो, कोई आ रहा है, कैसी महिमा मसीह आ रहा है,"
310,,328,இயேசு சீக்கிரம் வரப் போகிறார்,639,"यीशु शीघ्र ही फिर आएगा, सत्य ईश्वर की यह वाणी है,"
311,,0,,640,"देखो निश्चय आता हूँ मैं, शीघ्र आ रहा हूँ मैं,"
312,,329,இயேசு வருகிறார் ஜெயங்கூறிடுவோம்,630,"बोलो जय, जय, जय, प्रभु यीशु की जय"
313,,327,காலம் நெருங்கிற்றே கர்த்தர் வருகையின்,642,"अब वह दिन निकट है, प्रभु आएगा, (2)"
314,,332,சொர்க்கத்தின் மகிமையோடும்,643,"स्वर्गीय महिमा में, तेजोमय वस्त्र में,"
315,,331,ராஜாதி ராஜா கர்த்;தாதி கர்த்தா,644,"राजाओं का राजा, प्रभुओं का प्रभु,"
316,,336,எழும்புங்கள் பக்தர்களே,645,"हो तैयार, सन्तों सब, है पुकार,"
317,,344,சீயோனின் ராஜா வருகிறார் ஆயத்தப்படுவோம்,647,"सिय्योन से राजा आ रहा, मन को सुधार लो,"
318,,333,பரமனேசு வருகிறார் பரத்தினின்று வேகமாய்,648,"यीशु शीघ्र आएगा, स्वर्ग से वो उतरेगा,"
319,,337,ஆண்டவர் இயேசு வருகிறார்,649,"अब तुम सब तैयार रहो, ख्रीष्ट यीशु आएगा,"
320,,342,எக்காள சத்தம் வானில் தொனிக்க,650,"तुरही का शब्द जो आकाश में होता, सामने यीशु को हम देखेंगे,"
321,,0,,0,
322,,350,கொஞ்சக் காலமே மிஞ்சியுள்ளது,651,"समय अब थोड़ा बाकी रहा, आनेवाला यीशु शीघ्र आएगा,"
323,,724,ஜெயங்கொள்ளுவோரை கொண்டு போக,641,"मसीह लेने उन्हीं को आता है, जो जयवन्त विश्वासी हैं,"
324,,0,,168,"हल्लेलूयाह, हल्लेलूयाह, हल्लेलूयाह, स्तुति,"
325,,0,,0,
326,,0,,0,
327,,0,,0,
328,,304,"ஜீவன் ஈந்தாரல்லவோ,",0,
329,,0,,0,
330,,225,மகா ராஜா இயேசு வாழ்க,244,"महाराजा यीशु तेरी होवे जय जयकारी,"
331,,0,,342,"यीशु के पथ को छोड़कर कही जावे मतिना,"
332,,368,அன்பின் முரசு அகிலத்தில் கேட்கிற முழக்கம்,321,"यह प्रेम का डंका आलम में, बजवा दिया सूलीवाले ने  (2)"
333,,226,ஜெயமென்று பாடுங்கள் சர்வ ஜனமே,261,"जय बोलो सारे लोगों, यीशु मुक्तिदाता की,"
334,,367,ஜெகத்திற்கே இரட்சகனாய் உதித்தார்,316,"जगत में आया है तारणहार (2),"
335,,227,வாழ்க வாழ்க இயேசு நாமமே,300,"भजो भजो प्रभु यीशु नाम,"
336,,0,,0,
337,,369,"பாவத்தின் பலன் நரகம், நரகம்",337,"गुनाह की सजा जहन्नम, जहन्नम (3),"
338,,0,,0,
339,,0,,298,"सुन लो मेरे भाइयो,"
340,,0,,0,
341,,0,,556,"तंग दरवाजे होकर कोई कोई चलता, (2)"
342,,407,கிருபைக்காலம் ஓடியே போகுதே நரரே,0,
343,,0,,299,"सब यीशु की जय जय बोलो, सब पाप से हाथ को धो लो"
344,,0,,341,कलवरी के सहारे ... बच जाएगा प्यारे
345,,0,,319,"बिन यीशु नहीं हो, निस्तारा (2), ... बिन यीशु नहीं हो"
346,,0,,325,"प्रभुजी तुम को,"
347,,366,"குரு பூரணர் யார், குரு பூரணர் யார்?",322,"गुरु कौन पूरा, गुरु कौन पूरा ... जिस के मन में प्रेम भरा"
348,,408,ஜனங்களே வேகமாய் வாரும்,294,"सब लोगों जल्दी आओ, सच्चे प्रभु को जान लो,"
349,,365,பாவியை நேசித்துப் பிராணனை ஈந்த,311,"प्रेमी मसीह के ओरेम बराबर, प्रेम है कोई नहीं,"
350,,0,,291,"आओ जक के लोग सब ही, यीशु राजा बुलाता है  (2)"
351,,403,வருவீர் வருவீர் இயேசுவினருகில்,290,"आओ, आओ यीशु पास आओ,"
352,,404,வாருமே இயேசுபாதம் சேருமே,0,
353,,0,,326,जग में मसीह की हो जयकार ... सब प्राणी करें जय जयकार  (2)
354,,223,கிறிஸ்தே சர்வாதிகாரி,323,"ख्रीष्ट है सर्वाधिकारी ... ख्रीष्ट है अल्फा ओमिगा,"
355,,224,இருள் நிறைந்த உலகத்திலே,315,"अन्धकार में खोए हुओं को,"
356,,361,மானிடரூபம் இயேசு எடுத்தார்,317,"मनुष्य रूप धारण करके, आया यीशु जगत में,"
357,,402,இயேசுவின் இரத்தம் இன்று முள்ளதே,328,"यीशु का लोहू अनुपम है जो,"
358,,405,பாவியை இரட்சிக்க வந்த கிறிஸ்தேசுவை,0,
359,,0,,318,"पापी के लिए प्रभुजी (२), क्रूस पर बिल हुआ, (2)"
360,,364,தேவன் இவ்வுலகை எவ்வளவாய் நேசித்தார்,310,"ईश्वर ने जगत से प्रेम ऐसा किया,"
361,,362,மாய லோகத்தில் மோசம் போகாதீர்,335,"माया मोह में धोखा न खाओ तुम,"
362,,363,நியாய சிங்காசனம் உனக்கு முன் உள்ளது,336,"न्याय का सिंहासन सामने रखा है, ध्यान से जरा देख कोई बैठा है"
363,,370,"பேரன்பர் இயேசு நிற்கிறார்,",370,"संसार का सब से बड़ा वैद्य ... वह है हमारा यीशु,"
364,,371,நல்லசெய்தி ! இயேசுவை,369,"सुना हमने सुख का बोल, यीशु ख्रिस्त है तारणहार"
365,,315,இம்மானுவேலின் இரத்தத்தால்,365,"इम्मानुएल के लोहू से एक सोता भरा है,"
366,,316,"பாவதோஷம் நீக்கிட,",364,दिल के दाग को धोवे कौन ? लोहू जो कि क्रूस से जारी
367,,711,நம் கர்த்தராம் கிறிஸ்துவுக்குள்ளே நன்மைகள் எவ்வளவோ,207,"प्रभु यीशु में सब प्रकार की, आशीष हमारी है"
368,,391,உன் ஜீவிய காலம் குறுகினதே,330,"यह जीवन तेरा दो दिन का है, एक दिन तुझे मिट जाना है"
369,,678,பெரியதும் நித்தியமான பூரண இரட்சிப்பிதே,344,"महान उद्धार, अनन्त उद्धार, पूरा उद्धार वह है,"
370,,389,இயேசுவையல்லாமல் பாவிக்கு அடைக்கலமில்லை,320,यीशु बिन पापी का नहीं है ठिकाना  (2)
371,,428,மனந்திரும்பு இந்நாளே 2,339,"मन फिराओ, मन फिराओ,"
372,,400,மாயை மாயை உலகமே மாயை,332,"व्यर्थ ही व्यर्थ है, सब कुछ व्यर्थ है,"
373,,766,இயேசு இரட்சகா உமக்கே மகிமை,173,"ख्रीष्ट प्रभु जी महिमा तेरी हो,"
374,,0,,312,कौन है यीशु जानते हो ?
375,,0,,0,
376,,0,,0,
377,,0,,712,"यीशु के पीछे पीछे चला जा रहा हूँ मैं,"
378,,0,,0,
379,,0,,0,
380,,0,,0,
381,,0,,0,
382,,385,இதுவே அநுக்கிரக காலமதாயிற்றே,0,
383,,327,காலம் நெருங்கிற்றே கர்த்தர் வருகையின்,0,
384,,379,மாயலோக வாழ்வில் மூழ்கி ஏன் அலைகிறாய்?,334,माया मोह और लोभ में भाई भला क्यों फिरे ?
385,,380,"துதிசெய், துதிசெய், துதிசெய் திரியேகனை",302,"भज ले, भज ले, भज ले, यीशु का नाम,"
386,,0,,0,
387,,0,,0,
388,,406,ஆண்டவர் இயேசு அழைக்கிறார்,292,"प्रेम से यीशु बुलावे ... जल्दी आओ,"
389,,0,,301,"भजता क्यों नहीं रे मन मूरख ... यीशु नाम, सच्चा नाम,"
390,,410,பாவியே ஜீவ ஊற்றண்டை வா,327,"पाप सहित आ तू अब सोते के पास, भार दुःख का लेकर के आ,"
391,,376,தட்டித் தட்டி நிற்கிறேன் தாளைத் திற,305,"तेरे दिल के द्वार पर यीशु खटखटाता,"
392,,0,,0,
393,,373,"சகோதரா, பாவமன்னிப்பை",304,"भाई, बहनो, पाप की माफी माँग लो, प्रभु यीशु से  (2)"
394,,411,உனக்கு இரட்சிப்பு இயேசு கொடுக்க அழைக்கிறார்,343,"यीशु प्रभु है तेरा तारणहार,"
395,,0,,0,
396,,0,,0,
397,,381,கர்த்தர்மேல் கண்களை ஏறெடு,340,"प्रभु की ओर आँख उठाओ ... यीशु ओर आंख उठाओ,"
398,,412,பாரீர் பாரீர் எழுந்திடுவீர்,635,"देखो, देखो, उठो जागो, यीशु राजा आता है,"
399,,375,"இயேசுவை ஏற்றுக்கொள்வாய்,",307,"यीशु को ग्रहण करो, ख्रीष्ट यीशु को ग्रहण करो,"
400,,650,யாருக்காய் வாழ்கிறாய் நீ ?,329,"जीवन तेरा किस के लिए, तेरा जीवन किस के लिए ?"
401,,413,"இயேசு உன்னை அழைக்கிறார்,",295,"यीशु तुझे बुलाता है आज, सुन ले ध्यान से मधुर आवाज"
402,,378,நோக்கிப் பாரும் சற்று கல்வாரியை,313,"देखो, देखो जरा कलवरी पर,"
403,,383,கெட்டுப்போன மாந்தரை,368,"यह सुनाओ कि यीशु ख्रिस्त पापी को बचाता है,"
404,,382,இயேசுநாதர் ஐங்காயத்தை நோக்கிப் பார்த்தால்,367,"क्रूसित यीशु की ओर देख औए ले ले जीवन, वही तेरे लिए जीवन दान,"
405,,377,சுவிசேஷ செய்தி கேட்டாயா?,0,
406,,0,,296,"प्रभु यीशु बुलाता आज पापियों को सभी,"
407,,175,எருசலேமின் வாசல்களே இராஜாவை வரவேற்றிடுங்களே!,422,"यरूशलेम को फाटको, राजा को अन्दर आने दो,"
408,,372,இருதயக் கதவை நீ திறந்திடு இன்றே,306,"हृदय तुम खोलो, आओ यीशु पास,"
409,,415,கிருபை காலங்களில் கர்த்தர் இயேசுவை,308,"अनुग्रह का समय अब है,"
410,,416,கிறிஸ்து வண்டை வாரும் நண்பா,293,"ख्रीष्ट के पास आओ भाई, यीशु के पास आओ भाई,"
411,,421,கிருபையின் வாசல் திறந்துள்ளது,309,"द्वार अनुग्रह का खुला अब है, शीघ्र आओ यीशु बुलाता है"
412,,396,கர்த்தரின் வார்த்தைக்கு செவி கொடுப்பாய் 2,297,"सुन ले पुकार ! तुझ से प्रभु कहता है, (2)"
413,,0,,333,"क्यों भूला है नादान, ... कर बुरे भले का ध्यान"
414,,0,,331,"संसार को छोड़कर जाना पड़ेगा,"
415,,0,,0,
416,,0,,0,
417,,0,,0,
418,,0,,0,
419,,0,,0,
420,,0,,374,"तेरे द्वार को छोड़ यीशु जाऊँ किधर, (2)"
421,,0,,381,"दिल मेरा ले ले प्यारे यीशु, तूने इस बनाया है,"
422,,533,எனக்கிரங்கி என்னை இரட்சியும் இயேசுவே,377,यीशु तू मुझे पाप से बचा कर दया ...  (2)
423,,536,என் இதயத்தில் என்றும் வசிக்க,382,"मन मन्दिर में आ मसीह,"
424,,523,ஆண்டவரே அடியேனை இரட்சியும்,378,"तारण दे पापी को, प्रभु मुझे,"
425,,528,கோரப்பாவி ஆயினேன்,376,"मैं एक अधम पापी हूँ,"
426,,0,,0,
427,,521,ஜீவாதிபதியே எம்மிதயத்தினுள் வாரும்,380,"जीवन दाता हो, मन में आ जाओ,"
428,,519,என்னை என்றும் கைவிடாதவர்,383,"नहीं छोड़े तू कभी भी मुझ को, गिरने से संभाल तारणहारा,"
429,,522,பாவியாயிந்த பாரினில் பிறந்தேன்,375,"मैं हूँ पापी जग में खोया, मुझ को कौन बचाये,"
430,,520,நான் என் இரட்சகரை—என்,373,"मैंने जब अपने त्राता को मेरे हृदय में अपनाया,"
431,,526,"பிளவுண்ட மலையே,",394,"यीशु मेरे शरण स्थान ...तुझ में मेरा है कल्याण,"
432,,527,"வா ! நீசப் பாவி ! வா,",397,"उस मीठी वाणी को मैं सुनता हूँ तेरी,"
433,,525,நான் பாவி தான்—ஆனாலும் நீர்,396,"जैसा मैं हूँ बिना योग्यता ... पर लेकर आसरा लोहू का,"
434,,401,வானம் பூமி யாவற்றிலும் இயேசு மேலானவர்,0,
435,,524,பாவப்பாரமே கொண்டு,0,
436,,529,தயவுள்ள இயேசுவே பாவிக்கடைக்கலமே,379,"दयालु यीशु, पापी का आश्रय,"
437,,436,சபை ஒன்றே தான்,452,"मण्डली एक ही है,"
438,,0,,0,
439,,723,ஜெயங்கொள்ளுகிறவன் தேவகுமாரன்,0,
440,,0,,462,"हे सिय्योन नगर तू सोने का नगर है,"
441,,442,சீயோன் சிங்காரம் —நாம்,463,"हे सिय्योन नगर,"
442,,437,கர்த்தர் இயேசு சபையைக் கட்டுகிற வேலை,453,"प्रभु यीशु अपनी मण्डली बनाता, (2)"
443,,438,பக்தரின் சபையே கர்த்தரின் தேகம்,454,"भक्तों की मण्डली है प्रभु की देह, भरपूरी अपनी जिस में बह भर दे  (2)"
444,,0,,0,
445,,440,சக்திவாய்ந்த சாலேமின் ராஜா,470,"शक्तिशाली, राजा शालेम का, गुलाब शारोन का,"
446,,0,,469,"दिव्य दर्शन परमेश्वर का ... याकूब ने जब देखा,"
447,,0,,235,"आज के दिन से आशीष मैं दूँगा,"
448,,444,எல்லாம் உங்களுடையதே—வல்ல,460,"सारी चीजों है तुम्हारी,"
449,,439,பணிந்து தொழுவோம் பராபரனை—பணிவோம்,543,"प्रभु को सब मिलकर सराहो, (2)"
450,,443,ஆட்டுக் குட்டியானவரின்,466,"खुशी मनाओ, मेम्ने का विवाह उत्सव आया है ... आओ"
451,,0,,457,"आत्मिक घर है, प्रभु जो बनाता, आत्मिक नियम से है बनता"
452,,0,,0,
453,,445,தேவனின் வாசஸ்தலமாய் நாம் கட்டப்படுகிறோம்,458,"हम ईश्वर के घर की नाई बनाये गये हैं,"
454,,446,துதித்திடு துதித்திடு,345,"गाओ सना, गाओ सना, प्रभु यीशु महान राजा बना"
455,,447,சபையின் அஸ்திபாரம்,476,"सारी कलीसिया का एक यीशु है आधार,"
456,,448,தேவ நகரமாம் சீயோன்,0,
457,,0,,0,
458,,441,நாமோ கர்த்தரின் பரலோகக் குடும்பம் 2,459,"हम है प्रभु का स्वर्गीय घराना,"
459,,451,சபையே கிறிஸ்து இயேசுவின் தேகமே அதில்,455,"कलीसिया ख्रिस्त यीशु का शरीर है,"
460,,0,,456,"ख्रीष्ट यीशु प्रभु जिस मण्डली को अपने लोहू से मोला,"
461,,780,பரிசுத்த பட்டணமாம் புதிய எருசலேம்,467,"पवित्र नगर नये यरूशलेम को, स्वर्ग पर से उतरते हम ने देखा,"
462,,0,,468,"नया यरूशलेम, जो अद्‍भुत है, पवित्र नगर वही है,"
463,,449,கர்த்தரின் வீடு அவர் மகிமையால்,461,"प्रभु की महिमा प्रबु के घर को, भर दिया वह भर दिया"
464,,454,பரிசுத்த ஆலயத்தை எனக்கு,472,"मन्दिर बनाओ मेरे लिए, प्रभु परमेश्वर तू ने कहा है,"
465,,0,,604,"एक नगर तैयार है हमारे लिए,"
466,,0,,0,
467,,0,,0,
468,,0,,0,
469,,0,,0,
470,,0,,0,
471,,459,பழைய புதிய ஏற்பாடுகளிலே,0,
472,,462,கர்த்தராகிய தேவன் — விளம்புவதைக் கேட்பேன்,285,"आवाज प्रभु की सुनूंगा, जब वह मुझ से कहे, (2)"
473,,463,தாகத்தைத் தீருமையா—அபி,0,
474,,0,,283,"उन दिनों प्रभु का वचन ... दुर्लभ था यहोवा दर्शन,"
475,,0,,0,
476,,460,நித்தியன் இயேசுவையே துதிப்போம்—அவர்,277,"अनन्त यीशु की हम स्तुति करें, उसकी सच्चाई के लिए,"
477,,461,தாகமுள்ளவன் மேல் தண்ணீரை,493,"जो प्यासा है उस पर प्रभु पानी उँडेलेगा,"
478,,464,தேவா ஜீவ அப்பத்தைப் பிட்டுத் தாரும்,450,"जीवन की रोटी अब प्रभु खिला ... जैसे समुद्र पास खिलाता था,"
479,,466,"பேசும் கேட்;கிறேன் கர்த்தாவே,",0,
480,,465,"நாதா, உம் வார்த்தை கூறவே",451,"बोल मुझ से, कि मैं बोल सकूं ... हे प्रभु ! तेरी वाणी से,"
481,,467,கர்த்தாவே உம் சத்தம் கேட்டிடச் செய்யும்,286,"बोल यहोवा सुनता तेरा दास, वाणी अब तू सुना दे,"
482,,0,,0,
483,,0,,0,
484,,0,,0,
485,,0,,0,
486,,615,இயேசுவை விசுவாசிப்போர்,494,"यीशु पर विश्वास जो लाते, उसी के अनुग्रह द्वारा,"
487,,616,கர்த்தரைத் துதியுங்கள் அவர் நல்லவரே,0,
488,,617,ஆனந்தமே பரமானந்தமே—இயேசு,487,"आनन्द से भर कर जाएँगे हम सब,"
489,,627,இதோ புதிய காரியம் செய்வேன் —இகந்தன்னிலே,280,"देखो मैं एक नया काम अब करूँगा जरूर,"
490,,618,சிறந்தே விளங்கும் சீயோன் வாசி சர்வாதிகாரி,279,"पवित्र सिय्योन के वासी, सर्वाधिकारी की महिमा है बड़ी,"
491,,611,கர்த்தருக்குள் மகிழ்ந்திருப்பதே,234,यहोवा का आनन्द ही दृढ़ गढ़ तुम्हारा है
492,,619,தேவனின் தீர்மானம் —பக்தரே,0,
493,,621,எப்போதுமே எப்போதுமே,616,"सभी समय, सभी समय, सभी समय आनन्द है,"
494,,633,"தேவ சமாதான இன்ப நதியே,",0,
495,,655,ஆவியில் எளிமையுள்ளவர்கள்,495,"धन्य हैं वे जो ... मन के दीन हैं, क्योंकि स्वर्ग का राज्य ... उन्हीं का है,"
496,,664,என்றென்றும் நிலைப்பது அன்பே,504,"प्रेमी यीशु मसीह का, हाँ प्रेम ही सबसे अटल है,(2)"
497,,623,பரிசுத்தர்களாயிருங்கள் —தேவ,554,"पवित्र तुम बने रहना,"
498,,620,அன்பே அன்பே அன்பே,479,प्रेम प्रेम (2)
499,,628,முன்னறிந்தீரே யேகோவா,0,
500,,629,நான் இயேசுவின் ஒளியில் நடக்கிறேன்,557,"मैं यीशु के नूर में साथ चलूंगा, दिन औ रात उसके पीछे मैं चलूंगा,"
501,,625,நீங்கள் உலகத்திற்கு வெளிச்சம்,533,"तुम ही, तुम ही, इस जग की हो ज्योति,"
502,,624,வல்லவர் இயேசுவின் மகிமை—பாடி,483,"प्रभु यीशु की ज्योति यदि कहूँ वह कैसी महान,"
503,,610,நான்தான் பயப்படாதிருங்களென்றார்,0,
504,,0,,0,
505,,0,,197,"हे ईश्वर तेरे विचार कैसे अमूल्य हैं मेरे लिए,"
506,,0,,281,"हे आकाश, कान लगा अब तू ... कि मैं बोलूंगा,"
507,,0,,110,शान्तिदाता प्रभु यीशु की शान्त मन्दिर में हो स्तुति
508,,626,விசுவாசிகளே விழித்தெழுங்கள்,602,"उठो, जागो हे मसीहियो, यर्दन पास जाने को,"
509,,0,,0,
510,,674,பயப்படாதிரு நீயே யுத்தம் கர்த்தருடையதே,553,"सन्तों, नही डरना ... युद्ध है यहोवा का,"
511,,622,பயப்படாதே சிறு மந்தையே,549,"हे छोटे झुण्ड तू कभी भी मत डर,"
512,,612,நாம் இயேசுவுக்கே சொந்தம்,489,"हम यीशु प्रभु के हैं, और उस का ही रहेंगे,"
513,,613,இயேசுவை நோக்கிப் பார்த்தவர்கள்,492,"जिन्होंने उस की ओर दृष्टि की,"
514,,614,உலகம் ஜீவன் மரணமாகிலும்,612,"जगत, जीवन, मरण, भविष्य, सब कुछ तुम्हारा है,"
515,,0,,0,
516,,630,பூர்ண இரட்சிப்பை அளிக்க,0,
517,,631,கண்டேனே கருணை சத்யம்,0,
518,,634,"துன்பம் உன்னைச் சூழ்ந்தலைக்கழித்தாலும்,",622,"जीबन में जब आंधी तुम पर चलती है, और निराशा आ घेरे जब, सब हो क्षय,"
519,,638,"என் முன்னே தேவன் போகிறார்,",517,"उत्तम और शान्तिदायक बात ... कि ईश्वर थामे मेरा हाथ,"
520,,636,"பாதை காட்டும், மா யேகோவா,",443,"राह बता, महान परमेश्वर ... राही मैं निर्जन पथ का,"
521,,637,"இரட்சா பெருமானே, பாரும்,",448,"प्रभु यीशु, मेरे प्रिय ...लोगों का बचानेहार,"
