Telugu Number,English Title,Tamil Number,Tamil Title,Hindi Number,Hindi Title
522,,574,"உம்மண்டை, தேவனே,",518,"ईश्वर तेरे समीप, मैं पहुँचूं ... और क्रूस से मुझ को भी सामर्थ मिले,"
523,,640,"ஆசீர்வாதம் நாடி அன்பரை விட்டேன்,",0,
524,,639,எந்தன் ஆத்ம நேசரே,519,"यीशु, मेरे प्राण के मीत ... जब तक जग में रहता हूँ,"
525,,635,என் மேய்ப்பர் இயேசுகிறிஸ்து தான்,520,"यीशु चरवाहा मेरा है ... मैं उस की दया पता,"
526,,632,"ஒப்பில்லாத திவ்விய அன்பே,",449,"दिव्य प्रेम, सर्वोत्तम सब से ... स्वर्गीय आनन्द आ उतर,"
527,,458,"அன்பாய் எம்மை நடத்தினீர்,",212,"प्यार से तू लेकर आया,"
528,,651,ஆனந்தம் மகா ஆனந்தம—கிறிஸ்தேசுவில் ஆனந்தம்,371,"आनन्द, महान आनन्द है, प्रभु का वह आनन्द है,"
529,,642,நீங்கள் மிகுந்த கனிதருவதால்,497,"तुम बहुत सा फल लाओगे, पिता की महिमा होगी,"
530,,643,விழித்தெழுவாய் நீ விழித்தெழுவாய்,432,"जागते रहना, जाहते रहना,"
531,,653,அற்புத ஆசீர்வாதங்கள் ஆண்டவரே பொழிந்தீர் நீரே,206,"अदभुत् है तेरी आशीष प्रभुजी उण्डेली तू ने,"
532,,562,கிறிஸ்துவை நோக்கி முன்னேகிடுவேன் சீயோனின் யாத்திரையில்,598,"मसीह को देख कर, आगे बढूं मैं, सिय्योन के यात्रा में,"
533,,669,செல்லுவோம் நாம் சேர்ந்து சென்றிடுவோம்,546,"आओ चलें, हम मिलकर चलें,"
534,,534,பரனே பாவி நான் வழி தப்பி அலைந்தேன் 2,220,"हे प्रबु, भूला भटका दूर मैं,"
535,,0,,597,"दुनिया के इस सफर में जब रहता,"
536,,0,,548,क्या तू पहिला प्रेम अब छोड़ा है ?
537,,670,தேவன் தம்மோடு நம்மை,547,"ईश्वर के साथ सहकर्मी और, भगीदार हम को किया,"
538,,749,நிச்சயமாய் நான் உன்னை ஆசீர்வதிப்பேன் 2,209,"आशीष के ऊपर आशीष तुझ को दूँगा,"
539,,658,இயேசு நம்மோடிருக்கையில்,555,"यीशु प्रभु का साथ अब है, हिम्मत से हम बढ़ेंगे,"
540,,0,,278,"प्रभुजी, तू ने हैं की, प्रतिज्ञाएँ हम से,"
541,,677,பூரிப்பாய் மகிழுவோம் கர்த்தருக்குள்,488,"हर्षित हम होंगे यहोवा में,"
542,,0,,464,"जग जग अब हे सिय्योन ... अपना बल कर धारण,"
543,,0,,0,
544,,0,,0,
545,,0,,0,
546,,0,,0,
547,,0,,0,
548,,0,,0,
549,,0,,0,
550,,0,,0,
551,,0,,0,
552,,0,,0,
553,,0,,0,
554,,0,,0,
555,,477,பிரபு இயேசு என் இரட்சகா என்றும் உம்மைக்காணும,0,
556,,483,ஓ சர்வவல்லவா சத்யமாயுள்ளவா,399,"सर्व शक्तिमान, मेरे सच्चे प्रभुजी,"
557,,468,நீதிமான்களின் ஜெபங்களையே,404,"धर्मी लोगों की प्रार्थना परमेश्वर निश्चय सुनेगा,"
558,,488,ஆறுகளைத் திறந்து விடும்,419,"प्रभु नदियाँ बहायेगा, निर्जल, ऊँचे पर्वतों से,"
559,,0,,0,
560,,470,"வானங்களும், வானாதி வானங்களும்மைக்",0,
561,,0,,410,"स्वर्ग से उण्डेल प्रभु अग्नि सा जीवन,"
562,,484,பரிசுத்த அக்கினி அனுப்பும் தேவா,0,
563,,0,,402,"परिशुद्ध, परिशुद्ध प्रभु यीशु आ आ,"
564,,0,,430,"तुम तो आत्मा के युद्ध को जीत लो रे,"
565,,471,ஆசீர்வாதத்தை நாடினோம்,401,"आशीष तुझ से चाहते हैं,"
566,,472,"வல்ல ஆவியே இயேசு எங்கள் மீதிலே,",409,"हे पवित्र आत्मा समर्थ प्रभु,"
567,,476,ஆச்சரியமானவர் இயேசு,561,"यहोवा ने आश्चर्य काम किए हमारे लिए,"
568,,473,வல்ல தேவா என்னை நிரப்பும்,420,"भर दे प्रभु मुझे तू (2), ... सारी भरपूरी से अपनी मुझे तू  (2)"
569,,471,ஆசீர்வாதத்தை நாடினோம்,0,
570,,0,,417,"करुणा से प्रभुजी, वापस दे जो खोया मैं,"
571,,0,,411,"सुन ले पुकार हमारी, महान शक्तिवाले,"
572,,474,ஆவியாம் தீபமே,424,"जीवन दीप जलाओ (2), प्रभुजी मेरे, प्रभुजी मेरे, (2)"
573,,0,,713,"प्रभुजी तेरे काम को ... पूरा तू कर दे हम में,"
574,,479,ஓ என் கர்த்தாவே உயிர்ப்பித்தருளும்,418,"हे प्रभु भेज अब तू जागृति,"
575,,274,பரம பிதாவே கரமெ கூப்பி,400,"परमपिता हम हाथ उठाकर स्तुति करते हैं,"
576,,480,கர்த்தாவே எங்களை நிரப்பும்,421,"हे प्रभु तू भर दे, सारी परिपूरी से (2),"
577,,478,ஒளியை நீர் கொடுத்து வழியைக்காட்டிடும்,425,"ज्योति दिखा दो, मार्ग बता दो,"
578,,485,தேவா பொழிந்திடும் தேவா பொழிந்திடும்,429,"प्रभु बरसा दो (2), आशीषें बारिश बरसा दो, प्रभु बरसा दो"
579,,481,இரங்குமே! என் இயேசுவே,416,"मेरे यीशु करुणा तू कर, तू करुणा का धनी है,"
580,,482,திருப்பாதம் நம்பி வந்தேன்,415,"तेरे चरणों में झुकता हूँ, अनुग्रहकारी यीशु,"
581,,469,கேளுங்கள் நீங்கள் தருவேன் என்றார்,407,"माँगों उस से, प्रभु तुम्हें देगा, निश्चय वह देगा,"
582,,486,சேர்ந்திடுவோமே தைரியமாய்,405,"आओ चलें हियाव बान्धकर, अनुग्रह सिंहासन निकट,"
583,,487,கர்த்தாவே அருள்மாரி பொழியும்,428,"प्रभुजी भेजो वर्षा को, पूरी करने प्रतिज्ञा को,"
584,,120,ஓ கருணைநாதா மகாராஜா இயேசு,128,"हे करूणानिधान तू यीशु महान,"
585,,491,இயேசு ஸ்வாமி அருள் நாதா!,444,"छोड़ न मुझे, प्यारे यीशु ! बिनती सुन मेरी,"
586,,489,ஜீவத்தண்ணீரின் நதிகள்,0,
587,,490,அருள் ஏராளமாய்ப் பெய்யும்,442,"होगी आशीषों की बारिश ... है यह प्रेम की प्रतिज्ञा,"
588,,493,பாவ சஞ்சலத்தை நீக்க,445,"यीशु कैसा मित्र प्यारा ! ... पाप और दुख उठाने को,"
589,,494,சர்வ வல்லவரே,0,
590,,475,என் ஜெபவேளை வாஞ்சிப்பேன் !,446,"पवित्र समय प्रार्थना का ... सांसारिक बातें छोडूंगा,"
591,,503,எக்காலும் இயேசுவே !,447,"रह मेरे पास सदा ... प्रभु दयाल, तू अपने वचन से ... मुझे संभाल"
592,,495,சோர்ந்திடாமல் ஊக்கமாய்—ஓய்வின்றி,406,"हियाव न छोड़ो कभी, प्रार्थना तुम करो,"
593,,496,உம் முகத்தை நாடி வந்தோம் 2,412,"हम आते तेरे पास, प्रभु, प्रार्थना सुन ले आज,"
594,,0,,0,
595,,0,,426,जीवन की यह प्यास मेरे ... अब बुझा प्रभु यीशु प्यारे
596,,81,ஆண்டவரே என் உள்ளத்தை,67,हे यहोवा तू ने मुझ को ... जाँचकर जान लिया है  (2)
597,,0,,413,"ईश्वर के सम्मुख आते,"
598,,0,,403,"प्रार्थना सुननेवाला, प्रार्थना करो तू ने कहा,"
599,,0,,398,"मेरे बाद मिलकर दुआ करते रहना,"
600,,0,,0,
601,,0,,0,
602,,0,,0,
603,,0,,0,
604,,0,,0,
605,,0,,0,
606,,0,,0,
607,,688,என்ன என் ஆனந்தம்! என்ன என் ஆனந்தம்!,477,"कैसी खुशी है, कैसी खुशी है, बयान से बाहर है,"
608,,228,இரக்கங் கிருபையுள்ள என் தேவா,203,"दया, अनुग्रह का प्रभु हमारा, धन्यवाद मैं करूँ"
609,,692,இயேசுவின் இரத்தத்தால் மீட்படைந்தோம்,199,"अमूल्य लोहू से बचे हुए जन, ... प्रतापमय ईश्वर की है सन्तान,"
610,,0,,427,"आसी की यीशु प्यारे, बिगड़ी बनाते जाना,"
611,,652,நீல மண்டல நட்சத்திரங்கள்,545,"नीले गगन में चमके तारे, दुनिया में वैसे ही चमके हम, ( 2)"
612,,689,நல்ல போராட்டம் போராடு,544,विश्वास सहित आओ ... प्रचारे यीशु को
613,,0,,482,"जीवित है, यीशु जीवित है,"
614,,687,என் பாவங்களையெல்லாம் மன்னித்தார்—கர்த்தர்,478,"मेरे पापों कि क्षमा तू ने की, प्रभु मेरी आँखें तू ने खोल दी,"
615,,0,,481,"संकट और दुःख क्लेश मेरा मिट गया है,"
616,,690,இரட்சண்யத்தின் மேன்மை,502,"महान उद्धार जो है, प्रगट किया प्रभु ने,"
617,,691,எனக்காய் ஜீவன் விட்டவரே,614,"जीवन दिया मेरे लिए, जी उठा साथ रहने के लिए,"
618,,686,எந்தன் உள்ளத்தில் விந்தை மாற்றமே 3,347,"जीवन मेरा बदल गया है (3),"
619,,694,என் பாவம் தீர்ந்த நாளையே,521,"परमेश्वर ही की दया से ... सभी सुरक्षित हैं उस में,"
620,,695,கேட்டாயா உன் மீட்பர் சத்தம்,0,
621,,0,,0,
622,,641,பரன் நமக்களித்துள்ள திருமறை உரைப்படி,284,"वचन जो प्रभु से दिया गया उसके द्वारा,"
623,,0,,0,
624,,0,,704,क्या तेरी गवाही? क्या है तेरा बलिदान?
625,,0,,0,
626,,0,,592,"इंजील को फैलाना ... यह काम हमारा है, (2)"
627,,581,எழும்பியே நீ பிரகாசி—உன் ஒளியே வந்தது,528,"उठ, ज्योतिमान तू हो जा ... तेरी ज्योति है तुझ पर चमकी, (2)"
628,,585,சிலுவை வீரரே நீங்கள் விரைவினில் போங்கள்,541,"प्यारे हिम्मत बांधों आगे बढ़ो,"
629,,586,"தங்கள் தேவனை அறிந்தோர் திடன் கொள்ளுவார்கள்,",491,"अपने प्रभु को पहचानने वाले, शक्ति पा के काम करेंगे  (2)"
630,,577,சிலுவையைச் சுமந்து சீராய் நடந்து,522,"अब वक्त सलीब उठाने का,"
631,,579,தெரிந்தீர் சேனைகளின் கர்த்தரே காருண்யமாய்,0,
632,,580,இப்பூமிக்கு எம்மைத் தேவா எம் தேவா,535,"इस जग के लिए तू ने,"
633,,578,"எழும்புங்கள் சோதரி, சோதரரே",530,"हे भाइयो बहिनों, अब जाग उठो,"
634,,0,,537,"जय जय जय जय यीशु प्रभु,"
635,,0,,531,"भाइयों और बहनों अब जागो सभी,"
636,,0,,584,"क्या मैं खाली हाथ से जाऊँ, अपने प्यारे यीशु पास ?"
637,,0,,583,"यीशु को मैं सब कुछ देता ... सब कुछ अर्पण करता हूँ,"
638,,587,எழும்பு ஜாமக்காரனே,431,"हे पहरुआ जागता रह ... तू है सिपाही यीशु का,"
639,,588,இருள் சூழும் காலம் இனிவருதே,532,"घोर अंधकार अब आ रहा है, अनुग्रह दिन उपयोग तुम करो,"
640,,609,கர்த்தருக்காக உழைப்போம்,564,"तुम प्यारे प्रभु की सेवा में अपने को दान करो,"
641,,582,இயேசு கிறிஸ்துவின் நல் சீடராகுவோம்,525,"यीशु मसीह के अच्छे चेलों के समान, विश्वास से हम आगे बढ़े,"
642,,589,மந்தையில் சேரா ஆடுகளே,408,"झुण्ड में कई भेड़ें आई नहीं, करोड़ों दुनिया में जो हैं,"
643,,592,"முயல்வோம் ! முயல்வோம் ! தேவ ஊழியரே,",590,"सेवा में, सेवा में हम नित तत्पर रहें,"
644,,591,சத்ய வேதமான விதை காலை மாலை,591,"भोर के समय बोते ... दया रूपी बीज हम,"
645,,590,கரை ஏறி உமதண்டை,584,"क्या मैं खाली हाथ से जाऊँ, अपने प्यारे यीशु पास ?"
646,,593,ராஜாதி ராஜாவுக்கென்றே,0,
647,,0,,0,
648,,0,,0,
649,,0,,0,
650,,0,,0,
651,,719,யேகோவா நின் க்ருபை அதிசயங்களை,201,"प्रभु तेरी अनमोल करुणा, नित्य मैं गाऊँगा"
652,,714,ஆண்டவர் இயேசுவில் ஆர்ப்பரிப்போமே,226,"प्रभु यीशु में आनन्द हम करते हैं,"
653,,229,ஜெயம் ஜெயமே கூறுங்கள்,263,"बोलो जय मिलकर जय, बोलो जय यीशु की जय,"
654,,717,மகிமை நிறைந்த மன்னவனே,115,महिमा से तू जो भरा हुआ ... ज्योति में सदा रहनेवाला ;
655,,0,,262,"प्रभु यीशु की है जय, क्रूस की शक्ति से हैं जय"
656,,0,,529,"जागो, जागो, जागो, जागो हे मेरे प्राण,"
657,,718,உயர்ந்த ஸ்தலங்களின் மேல்,503,"ऊँचे स्थानों में प्रभु,"
658,,721,தேவனுக்கே துதி மரணத்தை வென்றார்,272,"ईश्वर की स्तुति हो, मृत्यु पर जयवन्त है,"
659,,716,ஜெய ராஜ கொடி ஏற்றிக் காட்டியே,0,
660,,588,இருள் சூழும் காலம் இனிவருதே,0,
661,,715,தீவினை செய்யாதே மா சோதனையில்,589,"लड़ो तुम शैतान से ... कि हारतता है पाप,"
662,,190,அதிகாரம் பெற்றிருக்கிறீர்—நீரே,132,"सर्वाधिकारी हे प्रभु, तू ही,"
663,,722,சுதந்தரமாய் சகலத்தையும்,499,"मीरास दे दी प्रभु ने उन्हें, जो कोई जयवन्त हुए"
664,,720,ஜெயங்கொள்ளுங்களென்று இயேசு உரைத்தார்,542,"जयवन्त बनो तुम भी यीशु ने कहा,"
665,,667,கிறிஸ்தேசு சிலுவையை நோக்கிப் பார்த்து,599,"क्रूस पर से अपनी नजर न हटाऍं,"
666,,666,கிறிஸ்தே நம் ஜீவியத்திற்கு,618,"ख्रीष्ट है इस जीवन का एक उत्तम रखवाला,"
667,,0,,0,
668,,0,,0,
669,,0,,0,
671,,762,மகிழ்வோம் இயேசுவில் மகிழ்வோம் பரன்,0,
672,,737,எல்லா நேரத்திலும் பொல்லா காலத்திலும்,615,"हर समय और हर हाल, सब परिस्थितियों में,"
673,,230,ஆனந்தமே இப்புவியில் ஆ ஆ ஆ ஆ,269,"आनन्द ही आनन्द है, आहा ! हमें ..."
674,,746,மன்னன் முன்னே நிற்போம் நாம் பொன்முடி சூடி,619,"जलाल के बादशाह के सामने ... ताज पहिने हुए,"
675,,735,தாகமுள்ளோரெல்லாம் வாரும்,0,
676,,736,தாகமுள்ளோர்களெல்லாரும்,484,"हे सब प्यारे जन नदी के पास,"
677,,738,பாவிகளின் இரட்சகன் இயேசு,107,तारणहार जगत का प्रभु यीशु ... दूतों का परमेश्वर प्रभु यीशु ;
678,,682,யோர்தானைக் கடந்தே போ—யாத்ரீகா,601,"चलो यर्दन पार मुसाफिर,"
679,,729,பாக்கியவான் சதா பாக்கியவான்,496,"धन्य तू है, सदा धन्य तू है, हे इस्राएल क्या ही धन्य तू है,"
680,,760,புதியவானம் புதிய பூமியையுமே கண்டேன்,605,"फिर मैंने देखा नये आकाश और नयी पृथ्वी भी,"
681,,739,எங்கள் இருதயங்கள் களிகூரும்,632,"प्रभु यीशु के आने के समय,"
682,,713,நான் பிரமித்து நின்று பேரன்பின்,485,"यीशु के प्यार के दरिया को ... हैरत से मैं ने देखा,"
683,,147,இயேசு கிறிஸ்துவின் தரிசனமே—இன்று,0,
684,,683,யோர்தான் நதியோரம் திகையாதே மனமே,600,"यर्दन नदी के पार चल ऐ मन मेरे,"
685,,0,,0,
686,,734,பிரபுவே உம் பரிபூரணத்தினின்று,208,"हे प्रभु तेरी परिपूर्णता से, मिलती हमें आशीष भरपूरी से"
687,,0,,0,
688,,763,உன்னத வீட்டைச் சீக்கிரம் சென்று,0,
689,,0,,611,"स्वर्गीय नगर सिय्योन, स्वदेश हमारा है,"
690,,0,,0,
691,,0,,0,
692,,0,,0,
693,,759,செல்லுவோம் பரம தேசத்திற்கு,610,"जाऍंगे उत्तम एक देश में जरूर, रहेंगे प्रभु के साथ हम जरूर, (2)"
694,,761,அதிசயமான ஒளிமய நாடாம்,609,"प्रकाशमय जो अद्‍भुत देश हव,"
695,,0,,287,"उसकी प्रतिज्ञाओं को विश्वास और धीरज से,"
696,,733,நீதியின் சூரியன் உங்கள்மேல் உதிக்கும்,595,"धार्मिकता का सूरज उदय अब होगा,"
697,,732,நீதியின் சூரியன் நம்மேல் உதிக்கும்,594,"धार्मिकता का सूरज उदय अब होगा,"
698,,0,,633,"मसीह के उस दिन में प्यारे विश्वासी,"
699,,198,இயேசுவை என்றும் துதித்திடுவோமே,205,"यीशु की नित्य हम स्तुति करेंगे, भूमि आकाश का जो सिरजनहारा,"
700,,649,அநாதி தேவன் உன் அடைக்கலமே,593,"अनादि ईश्वर आश्रय है,"
701,,741,இயேசுவே உம் வாக்குகளை—எப்போதும் நினைவுகூர்ந்து,613,"यीशु तुझ को भूल न जाऊँ, याद करूँ मैं पल पल में,"
702,,740,பரதேசி யானேன் கர்த்தாவே பாரில்,596,"यात्री हूँ मैं जग में प्रभुजी, चलता हूँ मार्ग मैं तेरा,"
703,,0,,154,"हे प्रभु तू विश्वासयोग्य सामर्थी है,"
704,,742,தேவகிருபை என்றுமுள்ளது,202,"ईश्वर की दया नित्य रहेगी, उसका अनुग्रह मिलता रहेगा,"
705,,730,உன்னத துருகமே—என் தேவனே,85,"ऊँचा गढ् है प्रभु मेरा, तारण्हार तू मेरा आश्रय है"
706,,731,நிரப்பினார் நம்மை நன்மைகளினால்,498,"तुम को भरा वह सारी भलाई से, स्वर्गीय आशीष है यह"
707,,745,இயேசுவே நம் சுதந்தரம்,500,"यीशु हमारी है मीरास, दूसरी मीरास अब है ही नहीं"
708,,744,கர்த்தராம் இயேசுவே நமக்கு,239,"यहोवा ने हम लोगों का जितना उपकार किया है,"
709,,0,,0,
710,,757,பகலோன் கதிர்போலுமே,621,"सूर्य जहाँ अस्त उदय ... ख्रिस्त राज्य वहाँ करेगा,"
711,,753,"என் மீட்பர் இரத்தம் சிந்தினார்,",623,"आशा का मेरी दृढ़ आधार, ख्रिस्त का लहू और धर्म आपार,"
712,,0,,624,"मसीह का रक्त और धर्म अपार है मेरा सुन्दर धर्म सिंगार,"
713,,755,இயேசுவை நம்பிப் பற்றிக்கொண்டேன்,626,"यीशु है मेरा, धन्य निश्चय ! मन में है देता आनन्द, विजय,"
714,,756,"பொன்னகர் இன்பத்தைப் பெற்றிடுவோம்,",620,"जब दुःख मुसीबत हैं मेरे तमाम, और मुझको मिला आसमान में आराम,"
715,,754,"இயேசுவின் கைகள் காக்க,",625,"रक्षित मसीह की गोद में, रक्षित मसीह के पास,"
716,,359,"திவ்யக் காளச்சத்தம் கேட்க இயேசு தோன்றும் காலத்தில்,",0,
717,,764,மா சாலேம் சொர்ண நாடு பால் தேனாய் ஓடிடும்,0,
718,,517,பரத்துக்கேறு முன்னமே,0,
719,,0,,80,"यहोवा महान और स्तुति के योग्य है,"
720,,709,நான்தான் பயப்படவேண்டாம் என்றுரைத்தார் 2,550,"डरना नहीं मैं हूँ कहा है, ... उद्धारकर्ता यीशु प्रभु"
721,,782,இன்ப இயேசு ராஜாவை நான் பார்த்தால் போதும்,617,"प्रैय यीशु राजा को मैं देखूँ, काफी है,"
722,,0,,527,"उठो, आओ, महान प्रभु के भावी गवाहो, उठो"
723,,703,கர்த்தர் இயேசுவே மகிமை நம்பிக்கையாய்,501,"मसीह हमारी महिमा की आशा, वह जो हम में है, (2)"
724,,565,நான் உமக்கே சொந்தம்,490,"प्रभु मैं तेरा हूँ, मसह मैं तेरा हूँ,"
725,,779,பரலோகமே என் தேசமாம்,608,"स्वर्ग मेरा देश, स्वर्ग मेरा घर,"
726,,702,என் ஆசைகள் யாவும் தீர்ந்ததே நேச இயேசுவில்,480,"अरमान मेरा मिट गया है, प्यारे यीशु में,"
727,,765,அஸ்திபாரங்களுள்ள நகரத்திற்காய் நாம்,603,"हम उस स्थिर नेववाले नगर की, बाट अब जोहते हैं,"
728,,772,கர்த்தரின் ராஜ்யம் அசையாதது,606,"प्रभु तेरा राज्य अटल है, नहीं टले सदा रहेगा"
729,,771,என்றுமே நிலைத்திடும் இயேசு ராஜ்யமே 2,607,"यीशु का राज्य अटल है, वह हिलने का नहीं,"
730,,676,பிரபுவே இலக்கை நோக்கி,0,
731,,0,,0,
732,,0,,0,
733,,0,,0,
734,,0,,0,
735,,0,,0,
736,,0,,0,
737,,0,,755,यीशु तेरे चेहरे को देखता रहूँ
738,,0,,0,
739,,0,,0,
740,,0,,0,
741,,0,,0,
742,,0,,0,
743,,544,ஜீவனைக் கொடுப்பேன் ஜீவாதிபதிக்கே,0,
744,,0,,346,जी हम ने यीशु से कर ली प्रीत
745,,540,இயேசுவே எந்தன் சிலுவையை எடுத்து,558,"यीशु के पीछे पीछे चला जा रहा हूँ मैं,"
746,,547,என் மீட்பர் சென்ற பாதையில்,0,
747,,0,,540,"त्रियक प्रभु के नाम पर जान अपनी देनी होगी,"
748,,541,தேவ ஆவியின் நெருப்பு தேஜஸாய் எரியுதே,536,"दिल में आग अब जलती है ... रूह की आग पवित्र,"
749,,543,இயேசுவின் தரிசனம் அடைந்த பின்,523,"प्रभु का दर्शन, यीशु का दर्शन,"
750,,542,பிரிய இயேசுவின் சேனை வீரர்கள் நாம்,539,"प्रिय यीशु मसीह के दलवाले, हम सैनिक हैं, हम सैनिक हैं,"
751,,0,,596,"यात्री हूँ मैं जग में प्रभुजी, चलता हूँ मार्ग मैं तेरा,"
752,,546,இயேசுவின் நிந்தையைச் சுமப்போம்,526,"जिल्लत उठा के तुम,"
753,,548,இயேசுவின் சீஷர் நாம் ஏகிடுவோம்,524,"हम यीशु मसीह के चेले हैं, दुनिया में घूम मचा देगे,"
754,,727,இயேசு கிறிஸ்தே நல்லவர்,538,"यीशु मसीह दिलावर है, शैतान से जोरावर है 2"
755,,549,பொருளாலே கனம்பண்ணு கர்த்தரை,563,"उपकार की भेंट अपनी,"
756,,0,,534,इस जग का मैं दीपक हूँ ... जीवन ज्योत जगा दूँगा
757,,545,உம் சிலுவையே என் மேன்மை இயேசு நாதா,560,"है तेरे क्रूस में मेरी शरण, यीशु प्रभु  2"
758,,553,"திவ்ய அன்பின் சத்தத்தை, இரட்சகா",585,"प्रभु तेरा हूँ तेरे वचन से ... तेरा प्रेम पहचानता हूँ,"
759,,555,"எந்தன் ஜீவன் இயேசுவே,",586,"प्रभु मेरा जीवन ले ... तेरा हो यह अभी से,"
760,,552,இயேசுவுக்கே ஒப்புவித்தேன்,583,"यीशु को मैं सब कुछ देता ... सब कुछ अर्पण करता हूँ,"
761,,551,பூவின் நற்கந்தம் வீசும் சோலையாயினும்,0,
762,,554,"நான் உம்மைப்பற்றி, இரட்சகா !",0,
763,,550,"இயேசுவே ! கல்வாரியில்,",587,"क्रूस के पास तू मुझे रख ... यीशु प्यारे त्राता,"
764,,561,கர்த்தர் இயேசுவையே நான் பின் சென்றிடுவேன்,559,"मैं तो यीशु के पीछे पीछे चलूंगा, 2"
765,,563,சர்வ வல்ல இயேசுவே உமக்கொப்படைக்கிறேன்,565,"मेरा सब कुछ है प्रभु, आज मैं तुझे सौंपता हूँ,"
766,,0,,0,
767,,0,,0,
768,,0,,0,
769,,0,,0,
770,,0,,0,
771,,0,,0,
772,,0,,0,
773,,681,நமது ஜீவனானவர்,657,हमारा जीवन और तारणहार यीशु  (2)
774,,784,வாலிபத்தில் சிலுஷ்டிகரை நினை,659,"अपने परमेश्वर के स्समने,"
775,,644,இயேசுவை இலக்காய் வைத்தே,660,"क्रूस ही तेरा निशान आगे बढ् ऐ जवान,"
776,,0,,0,
777,,0,,0,
778,,783,தயவுள்ள இயேசுவே உம்மை,661,"तुझ को पहचाने दयालु यीशुजी,"
779,,787,கர்த்தர் ஊழியத்தை செய்ய வாலிபனே வா,662,"सेवा प्रभु की तुम करे ए जवानों आओ,"
780,,556,அல்லேலூயா ஓசன்னா—துதி கனம் கர்த்தருக்கே,562,हल्लेलूयाह  होशन्ना
781,,0,,0,
782,,0,,0,
783,,0,,0,
784,,0,,0,
785,,0,,0,
786,,0,,0,
787,,0,,0,
788,,0,,0,
789,,0,,0,
790,,792,தேவனின் மெய்யன்பு வேத புஸ்தகத்திலுண்டு,672,ईश्वर का सच्चा प्रेम मिलता है धर्म पुस्तक में  (2)
791,,0,,674,"हर एक वायदा मेरे लिए है,"
792,,0,,0,
793,,0,,0,
794,,0,,0,
795,,0,,0,
796,,0,,0,
797,,0,,0,
798,,0,,0,
799,,0,,0,
800,,0,,0,
801,,0,,0,
802,,0,,0,
803,,0,,0,
804,,0,,0,
805,,0,,0,
806,,0,,0,
807,,0,,0,
808,,0,,0,
809,,0,,0,
810,,0,,0,
811,,0,,0,
812,,0,,0,
813,,0,,0,
814,,0,,0,
815,,0,,0,
816,,0,,0,
817,,0,,0,
818,,0,,0,
819,,0,,0,
820,,0,,0,
821,,0,,0,
822,,0,,0,
823,,0,,0,
824,,0,,0,
825,,0,,0,
826,,0,,0,
827,,0,,0,
828,,0,,0,
829,,0,,0,
830,,0,,0,
831,,0,,0,
832,,0,,0,
833,,0,,0,
834,,0,,0,
835,,0,,0,
836,,0,,0,
837,,0,,0,
838,,0,,0,
839,,0,,0,
840,,0,,0,
841,,0,,0,
842,,0,,0,
843,,0,,0,
844,,0,,0,
845,,0,,0,
846,,0,,0,
847,,0,,0,
848,,0,,0,
849,,0,,0,
850,,0,,0,
851,,0,,0,
854,,0,,0,
855,,0,,0,
857,,0,,0,
858,,0,,0,
859,,0,,0,
860,,0,,0,
861,,0,,0,
863,,0,,0,
864,,0,,0,
865,,0,,0,
866,,0,,0,
867,,0,,0,
868,,0,,0,
869,,0,,0,
870,,0,,0,
871,,0,,0,
